Nama Project,Type,Link
citrea,T,https://safe.citrea.xyz/home?safe=citrea-testnet:0x87B1c28f06522dD9d4Cf5A82E3002dDa8881839C
fiamma,T,https://alpha-test-bridge.fiammalabs.io/bridge
blendi,T,https://app.blendy.gg/
teafi,T,https://app.tea-fi.com/swap
fraktion,T,https://dapp.fractionai.xyz/dashboard
og labs,T,https://storagescan-newton.0g.ai/history?network=turbo
monad,T,https://testnet.nad.fun/profile/0x9563B9Ed4F1c15551D8D8f835ca0efD815F88E34
zaros,T,https://testnet.app.zaros.fi/dragon-festival
theoriq,Q,https://quests.theoriq.ai/
drkvrs,Q,https://www.transraad.io/dashboard
dxtr,T,https://app.dextr.exchange/?ref=LKf4IDva
sahara,T,https://legends.saharalabs.ai/?code=WDJN0W
aika,T,https://aikaswap.xyz/
spark,T,https://test.sparkpoint.io/
haustdex,T,https://dex.testnet.haust.app/
onefotbal,Q,https://ofc.onefootball.com/s2/
kiteai,T,https://testnet.gokite.ai/?r=QZ6bs9CU
mindnetwork,T,https://dapp.mindnetwork.xyz/?code=N9TXV
aigaea,Q,https://app.aigaea.net/register/?ref=gasXwN7DPqlz2U
sapien,T,https://app.sapien.io/join/GoldBeaverLorilyn
o3layer,T, https://app.testnet.o3layer.com/
hubxyz,T,https://ai.hub.xyz/cult/6yt39m9nvsb9
mewo ai,Q,https://mewo.ai/?ref=pIbqxUV6
earnos,Q,https://app.earnos.com/?ref=uangdroid
klokai,Q,https://klokapp.ai/?referral_code=KJNSQJML
redacted,Q,https://s.id/RedactedAirdrop
common,Q,https://common.xyz/dashboard?refcode=0x93671a4bD69049877D00604915AcB72493C18e86
billions,Q,https://signup.billions.network?rc=UG3R6SL2
presistence,T,https://www.testnet.persistence.one/
EthSign,T,https://app.sign.global/profile
imDeFa,T,https://testnet.imdefa.com/?refercode=F6ED5E
nexity,Q,https://dashboard.withblaze.app/activity-tracker/quest/6131aa8c7b29a2ca5e63867170a7c4af?refer=1193677
